"quality","radius","falling","offset_sign","offset_power","mu","gpu_status","gpu_phi","cpu_status","cpu_phi","raw_error"
"STANDARD","8.0","false","-1","2","-0.9627407","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","2","-0.9427407","1.0","4.8764634","1","4.87646583630396","2.4230654345203106E-6"
"STANDARD","8.0","false","-1","3","-0.9537407","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","3","-0.9517407","1.0","7.011936","1","7.011915668157749","2.051958639182061E-5"
"STANDARD","8.0","false","-1","4","-0.9528407","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","4","-0.9526407","1.0","9.290505","1","9.290615984851431","1.1057561070870747E-4"
"STANDARD","8.0","false","-1","5","-0.9527507","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","5","-0.9527307","1.0","11.590739","1","11.591480650941822","7.414007587165372E-4"
"STANDARD","8.0","false","-1","6","-0.9527417","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","6","-0.9527397","1.0","13.918227","1","13.906763367596843","0.011463828142902699"
"STANDARD","8.0","false","-1","7","-0.9527408","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","false","1","7","-0.9527406","2.0","1.0","1","16.282925577917865","NaN"
"STANDARD","1.5","false","-1","2","-0.01","0.0","1.0","0","NaN","NaN"
"STANDARD","1.5","false","1","2","0.01","1.0","6.3184643","1","6.318464735865341","4.566905360547935E-7"
"STANDARD","1.5","false","-1","3","-0.001","0.0","1.0","0","NaN","NaN"
"STANDARD","1.5","false","1","3","0.001","1.0","8.624839","1","8.624623795104394","2.1503393613286903E-4"
"STANDARD","1.5","false","-1","4","-1.0E-4","0.0","1.0","0","NaN","NaN"
"STANDARD","1.5","false","1","4","1.0E-4","1.0","10.928756","1","10.9275567862135","0.0011989739793705212"
"STANDARD","1.5","false","-1","5","-1.0E-5","0.0","1.0","0","NaN","NaN"
"STANDARD","1.5","false","1","5","1.0E-5","1.0","13.326796","1","13.23017653702125","0.09661904098167895"
"STANDARD","1.5","false","-1","6","-1.0E-6","2.0","1.0","2","NaN","NaN"
"STANDARD","1.5","false","1","6","1.0E-6","2.0","1.0","1","15.532765072010973","NaN"
"STANDARD","1.5","false","-1","7","-1.0E-7","2.0","1.0","2","NaN","NaN"
"STANDARD","1.5","false","1","7","1.0E-7","2.0","1.0","1","17.835350532087748","NaN"
"STANDARD","1.05","false","-1","2","0.8316977","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","2","0.85169774","1.0","4.758791","1","4.758786515074782","4.454773851136906E-6"
"STANDARD","1.05","false","-1","3","0.8406977","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","3","0.84269774","1.0","7.127943","1","7.1279114823509","3.1556589529913026E-5"
"STANDARD","1.05","false","-1","4","0.84159774","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","4","0.8417977","1.0","9.440252","1","9.438754152687979","0.001498151389169422"
"STANDARD","1.05","false","-1","5","0.84168774","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","5","0.8417077","1.0","11.740769","1","11.743405937650166","0.0026365513586625866"
"STANDARD","1.05","false","-1","6","0.84169674","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","6","0.8416987","1.0","14.0735855","1","14.057048715853432","0.01653679440047462"
"STANDARD","1.05","false","-1","7","0.84169763","0.0","1.0","0","NaN","NaN"
"STANDARD","1.05","false","1","7","0.8416978","2.0","1.0","1","16.41062589617966","NaN"
"STANDARD","8.0","true","-1","2","-0.9871472","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","true","1","2","-0.96714723","1.0","4.306256","1","4.306255396423116","4.2099021424490957E-7"
"STANDARD","8.0","true","-1","3","-0.9781472","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","true","1","3","-0.97614723","1.0","6.322301","1","6.32229973987533","1.1710743770265708E-6"
"STANDARD","8.0","true","-1","4","-0.97724724","0.0","1.0","0","NaN","NaN"
"STANDARD","8.0","true","1","4","-0.9770472","1.0","8.579503","1","8.579368215126388","1.348442608186673E-4"
"STANDARD","8.0","true","-1","5","-0.97715724","0.0","1.0","0","NaN","NaN"
